year,title,doc
2025,Repeated Exposures to Air Travel-Relevant Hypobaria Induce Anxiety-Like Behavior and Alter Functional Connectivity and White Matter Integrity in a Ferret Model of Traumatic Brain Injury,<title>Repeated Exposures to Air Travel-Relevant Hypobaria Induce Anxiety-Like Behavior and Alter Functional Connectivity and White Matter Integrity in a Ferret Model of Traumatic Brain Injury</title>
2025,Gemelli’s legacy in the knowledge of spatial orientation in flight,<title>Gemelli’s legacy in the knowledge of spatial orientation in flight</title>
2025,"VSI: TRPRO - 35th Conference of the European Association of Aviation Psychology, EAAP 2024","<title>VSI: TRPRO - 35th Conference of the European Association of Aviation Psychology, EAAP 2024</title>"
2025,Affect and Performance in Simulated Flying Tasks: A Systematic Literature Review,<title>Affect and Performance in Simulated Flying Tasks: A Systematic Literature Review</title>
2025,Total and Recent Flight Experience as Predictors of Pilot Instrument Performance,<title>Total and Recent Flight Experience as Predictors of Pilot Instrument Performance</title>
2025,Development of an HTO-based framework for occupational health management in high-risk environments,<title>Development of an HTO-based framework for occupational health management in high-risk environments</title>
2025,Gamification of Learning Aviation Knowledge for Improving the Efficiency of Flight Training,<title>Gamification of Learning Aviation Knowledge for Improving the Efficiency of Flight Training</title>
2025,Effect of Pilot Expertise on Visual Scanning and Precision of Flight Maneuvers in Military Aviation,<title>Effect of Pilot Expertise on Visual Scanning and Precision of Flight Maneuvers in Military Aviation</title>
2025,Anchoring as a Mechanism for Modifying Risk-Taking Behavior in Military Aviation,<title>Anchoring as a Mechanism for Modifying Risk-Taking Behavior in Military Aviation</title>
2025,Could Pilots and Controllers Learn to Adequately Trust Their Partners?: A First Experimental Response,<title>Could Pilots and Controllers Learn to Adequately Trust Their Partners?: A First Experimental Response</title>
2025,Impact of CRM on Trust and Conflict Between Civil Aviation Pilots and Cabin Crew,<title>Impact of CRM on Trust and Conflict Between Civil Aviation Pilots and Cabin Crew</title>
2025,Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM,<title>Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM</title>
2025,Pilot-Related Factors Involved in Runway Incursions: An Epidemiological Approach,<title>Pilot-Related Factors Involved in Runway Incursions: An Epidemiological Approach</title>
2025,The Use of Hedonic-Motivation System Adoption Model in Evaluating Aviation Technology students’ Behavioral Intention and Immersion Toward Using Flight Simulator,<title>The Use of Hedonic-Motivation System Adoption Model in Evaluating Aviation Technology students’ Behavioral Intention and Immersion Toward Using Flight Simulator</title>
2025,Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight,<title>Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight</title>
2025,Relationship Between Organizational Justice and Organizational Trust Perceptions and Voluntary Non-Reporting in Aviation,<title>Relationship Between Organizational Justice and Organizational Trust Perceptions and Voluntary Non-Reporting in Aviation</title>
2025,A Comparative Study of Cognitive Abilities of Generation Y and Generation Z Pilot Candidates,<title>A Comparative Study of Cognitive Abilities of Generation Y and Generation Z Pilot Candidates</title>
2025,Why Pilots Push On: Motivational Influences on Weather-Related Risk Appraisal in Small Airplane and Helicopter Operations,<title>Why Pilots Push On: Motivational Influences on Weather-Related Risk Appraisal in Small Airplane and Helicopter Operations</title>
2025,Meta-Analysis of Age and Student Air Traffic Controller (ATCO) Training Outcomes,<title>Meta-Analysis of Age and Student Air Traffic Controller (ATCO) Training Outcomes</title>
2025,Critical Connections: Network Analysis of Human Errors in Aviation Accidents,<title>Critical Connections: Network Analysis of Human Errors in Aviation Accidents</title>
2025,Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation,<title>Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation</title>
2025,Barriers to Mental Health Seeking in Army Aviation Personnel,<title>Barriers to Mental Health Seeking in Army Aviation Personnel</title>
2025,Unraveling stock market crashes: insights from behavioral psychology,<title>Unraveling stock market crashes: insights from behavioral psychology</title>
2025,Integrating Mental Health into Aviation Safety in an AI-powered Future,<title>Integrating Mental Health into Aviation Safety in an AI-powered Future</title>
2025,A new approach for prioritising personality traits causing pilot error,<title>A new approach for prioritising personality traits causing pilot error</title>
2025,Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions,<title>Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions</title>
2025,Emotion Transition Recognition Using Multimodal Physiological Signal Fusion,<title>Emotion Transition Recognition Using Multimodal Physiological Signal Fusion</title>
2025,"""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal","<title>""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal</title>"
2025,Construction of an Interactive Aviation English Class Based on Virtual Reality Technology,<title>Construction of an Interactive Aviation English Class Based on Virtual Reality Technology</title>
2025,Critical Strategies for Human–Machine–Environment Interaction: Anthropometric and Ergonomic Approaches for Optimum Soldier Performance,<title>Critical Strategies for Human–Machine–Environment Interaction: Anthropometric and Ergonomic Approaches for Optimum Soldier Performance</title>
2025,Research on the Application of Facial Emotion Recognition in Aircraft Surveillance System,<title>Research on the Application of Facial Emotion Recognition in Aircraft Surveillance System</title>
